company_name,job_type,base_salary,industry,company_size,founded,rating,company_type,sector
"ExodusPoint Capital Management Hong Kong, Limited
3.2",Job Type: Full-time,HK$210K - HK$368K (Glassdoor Est.),Industry: Finance,Size: 501 to 1000 Employees,2017,3.2,Company - Private,Finance
"Achievers Recruitment Limited
4.7",Job Type: Full-time,-1,Industry: Business Services,Size: 1 to 50 Employees,2016,4.7,Company - Private,Business Services
"Excel Technology International (Hong Kong) Limited
1.7",Job Type: Full-time,-1,Industry: Information Technology,Size: 201 to 500 Employees,1988,1.7,Company - Private,Information Technology
"Sun Life Hong Kong Ltd
4.5",Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,4.5,Company - Private,NA
"Loscam (Asia Pacific) Co., Limited",Job Type: Full-time,-1,Industry: N/A,Size: N/A,2021,-1,NA,NA
"Elevate Hong Kong Holdings Limited
3.1",Job Type: Full-time,-1,Industry: Business Services,Size: 501 to 1000 Employees,2008,3.1,Company - Private,Business Services
5 Miles Lab Company Limited,Job Type: Full-time,HK$180K - HK$336K (Employer Est.),Industry: N/A,Size: N/A,2021,-1,NA,NA
"The Hong Kong Jockey Club
3.4",Job Type: Part-time,-1,"Industry: Arts, Entertainment & Recreation",Size: 10000+ Employees,1884,3.4,Non-profit Organisation,"Arts, Entertainment &amp; Recreation"
"lalamove
3.5",Job Type: Full-time,-1,Industry: Transportation & Logistics,Size: 501 to 1000 Employees,2013,3.5,Company - Private,Transportation &amp; Logistics
"Swire Resources Ltd
3.4",Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,3.4,Company - Public,NA
ION,Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,-1,Company - Public,NA
"Citi
3.9",Job Type: N/A,-1,Industry: Finance,Size: 10000+ Employees,1812,3.9,Company - Public,Finance
"Hong Kong Baptist University
3.8",Job Type: N/A,-1,Industry: Education,Size: 1001 to 5000 Employees,1956,3.8,College / University,Education
"Ambition
4.9",Job Type: Full-time,-1,Industry: Information Technology,Size: 51 to 200 Employees,2015,4.9,Company - Private,Information Technology
"Coleman Research
3.9",Job Type: N/A,-1,Industry: Business Services,Size: 201 to 500 Employees,2003,3.9,Company - Private,Business Services
JustOneGalaxy Recruitment,Job Type: Full-time,HK$180K - HK$480K (Employer Est.),Industry: N/A,Size: N/A,2021,-1,NA,NA
"The Straits Network
3.2",Job Type: Full-time,-1,Industry: Information Technology,Size: 201 to 500 Employees,2015,3.2,Company - Private,Information Technology
Serai Limited,Job Type: Intern/Trainee,-1,Industry: N/A,Size: 1 to 50 Employees,2021,3.4,Company - Private,NA
Commonwealth Bank,Job Type: Full-time,HK$192K - HK$300K (Glassdoor Est.),Industry: N/A,Size: Unknown,2021,-1,Company - Public,NA
"Société Générale
3.7",Job Type: Full-time,-1,Industry: Finance,Size: 10000+ Employees,1864,4.3,Company - Private,Finance
A Start Personnel Limited,Job Type: Full-time,HK$264K - HK$360K (Employer Est.),Industry: N/A,Size: Unknown,2021,-1,Company - Private,NA
"Hong Kong Baptist University
3.8",Job Type: N/A,-1,Industry: Education,Size: 1001 to 5000 Employees,1956,3.8,College / University,Education
"CPP Investments
3.8",Job Type: Full-time,-1,Industry: Finance,Size: 1001 to 5000 Employees,1997,3.8,Self-employed,Finance
"BGC Group Pte Ltd
3.4",Job Type: Full-time,HK$180K - HK$240K (Employer Est.),Industry: Business Services,Size: 51 to 200 Employees,2005,3.4,Company - Public,Business Services
"Société Générale
3.7",Job Type: Full-time,-1,Industry: Finance,Size: 10000+ Employees,1864,3.7,Company - Private,Finance
Robustus Investment Management,Job Type: Full-time,HK$300K (Employer Est.),Industry: N/A,Size: N/A,2021,-1,NA,NA
"foodpanda Hong Kong
3.7",Job Type: N/A,-1,Industry: Information Technology,Size: 1001 to 5000 Employees,2012,3.7,Company - Public,Information Technology
"Serai Limited
3.4",Job Type: Intern/Trainee,-1,Industry: N/A,Size: 1 to 50 Employees,2021,3.4,Company - Private,NA
"Bloomberg
4.1",Job Type: N/A,-1,Industry: Information Technology,Size: 10000+ Employees,1981,4.1,Company - Private,Information Technology
"DBS Bank
3.9",Job Type: N/A,-1,Industry: Finance,Size: 10000+ Employees,1968,3.9,Company - Public,Finance
"Momenta
3.0",Job Type: Full-time,HK$180K (Employer Est.),Industry: Manufacturing,Size: 1 to 50 Employees,1971,3.0,Company - Private,Manufacturing
"Taylor Coulter Limited
5.0",Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,5.0,Company - Private,NA
"CTgoodjobs (Career Times Online Limited)
1.0",Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,1.0,Company - Private,NA
"API Lab Testing Limited
4.0",Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,4.0,Company - Public,NA
Aigens Technology Limited,Job Type: Full-time,-1,Industry: N/A,Size: 51 to 200 Employees,2021,-1,Company - Private,NA
"JPC TEXSON LTD
2.0",Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,2.0,Company - Private,NA
"Links International
4.1",Job Type: Full-time,-1,Industry: Business Services,Size: 51 to 200 Employees,1999,4.1,Company - Private,Business Services
EC Healthcare,Job Type: Full-time,-1,Industry: N/A,Size: 5001 to 10000 Employees,2021,-1,Company - Private,NA
"Nexify Limited
3.7",Job Type: Full-time,-1,Industry: N/A,Size: 51 to 200 Employees,2021,3.7,Company - Private,NA
Global Associates,Job Type: Full-time,-1,Industry: N/A,Size: Unknown,2021,-1,Company - Private,NA
"DBS Bank
3.9",Job Type: Full-time,-1,Industry: Finance,Size: 10000+ Employees,1968,3.9,Company - Public,Finance
Wings Recruitment Partners Limited,Job Type: N/A,-1,Industry: N/A,Size: 1 to 50 Employees,2021,-1,Company - Private,NA
"Chanel
3.9",Job Type: Full-time,-1,Industry: Retail,Size: 10000+ Employees,1924,3.9,Company - Private,Retail
"The Floor
4.2",Job Type: N/A,-1,Industry: N/A,Size: 1 to 50 Employees,2021,4.2,Company - Private,NA
"China Life Insurance Company Limited
2.9",Job Type: N/A,-1,Industry: Insurance,Size: 10000+ Employees,2021,2.9,Company - Public,Insurance
"Hong Kong Exchange
3.2",Job Type: Full-time,-1,Industry: Finance,Size: 1001 to 5000 Employees,2000,3.2,Company - Public,Finance
"lalamove
3.5",Job Type: Full-time,-1,Industry: Transportation & Logistics,Size: 501 to 1000 Employees,2013,3.5,Company - Private,Transportation &amp; Logistics
中国太平人寿保险(香港)有限公司,Job Type: N/A,-1,Industry: N/A,Size: N/A,2021,-1,NA,NA
"Jane Street
4.4",Job Type: Full-time,-1,Industry: Finance,Size: 1001 to 5000 Employees,2000,4.4,Company - Private,Finance
"Swire Properties
4.1",Job Type: Contract,-1,Industry: N/A,Size: 1001 to 5000 Employees,1972,4.1,Company - Private,NA
"AXA
3.8",Job Type: Full-time,-1,Industry: Insurance,Size: 1001 to 5000 Employees,1985,3.8,Company - Private,Insurance
"Bloomberg
4.1",Job Type: N/A,-1,Industry: Information Technology,Size: 10000+ Employees,1981,4.1,Company - Private,Information Technology
Aspen Digital,Job Type: Full-time,HK$216K (Employer Est.),Industry: N/A,Size: N/A,2021,-1,NA,NA
IT-RecruitHK,Job Type: N/A,-1,Industry: N/A,Size: 1 to 50 Employees,2021,-1,Company - Private,NA
"Cigna
3.7",Job Type: Full-time,-1,Industry: Insurance,Size: 10000+ Employees,1865,4.1,Company - Public,Insurance
